patente,pais,nombre
AI2283,Reino Unido,blackwall
AI9121,Jamaica,Bowen
AL1557,Dinamarca,Boadicea
AL8743,Filipinas,Adelaide
AM9504,Paraguay,Chaqueta de sport
AU5998,Irlanda,Abigail
AU6167,Argentina,Affleck
AV9914,Costa Rica,Broadley
AY3986,Islas Malvinas,Bradfield
BB5259,Brasil,Flor
BF7024,Finlandia,Alban
BI5654,Peru,Consejo
BN3951,Italia,brigandine
BN4195,Costa Rica,acheron
BY4314,Suiza,Resplandor
BY5212,Colombia,aboukir
BZ3311,Noruega,Floracion
CC4639,Polonia,Energico
CE1914,Corea,downham
CG7403,Japon,Castillo bodiam
CI3218,Siria,Agamenon
CV4539,Islas Malvinas,Boreham
DA9671,Suiza,Botha
DC7834,Qatar,Sable
DG5218,Filipinas,Drury
DK4889,Portugal,Bristol
DQ3759,India,Branlebas
DS0478,Chile,Penelope
DT6703,Finlandia,Britania
DV6261,Belgica,Bridgewater
DY6365,Irlanda,Dubford
EB3227,Peru,Bossington
ED5736,Chile,guysborough
EE2109,Nueva Zelanda,Premio dragon
EF7582,Belgica,Aquiles
EG8528,Brasil,Abrahan
EH9187,Qatar,Aberdeen
EI5702,Italia,Admirable
EI5834,Polonia,Bourdelais
EV7485,Qatar,Bravo
EX4705,Japon,Firme
EY2745,Japon,Aberfoyle
FA3127,Chile,Brandon
FE1567,Panama,drummondville
FI2331,Austria,Bolton Castle
FM3163,Finlandia,Albany
FN4513,Qatar,Brinkley
FO3430,India,brearley
FS3778,Indonesia,Acteon
FU8868,Panama,Alberta
GC3280,Islas Malvinas,Acorazado
GE9618,Colombia,Dromedario
GF5994,España,Alcantara
GJ5946,Noruega,Breconshire
GM1638,Islas Malvinas,Afrikander
GO7311,Australia,Ventaja
GS7205,España,Aventuras
GS9404,Filipinas,Bramham
GS9663,Polonia,broadwater
GT9752,España,Albrighton
HB3228,Singapur,Habil
HB4367,Egipto,Breda
HE2921,Dinamarca,Brigadier
HE5247,Polonia,Negrita
HE7029,India,Adonis
HE8199,Jamaica,Brampton
HF1544,Jamaica,Alcaston
HF4402,Austria,Brillante
HH5023,Republica Dominicana,Bolebroke
HH5472,Republica Dominicana,Boulston
HI3831,Belgica,Brevdrageren
HI7513,Suiza,Brayford
HK6767,Sudafrica,Bridport
HP3120,Panama,gympie
HV2199,Mexico,acasta
HW2014,Colombia,Sabueso
ID7819,Panama,As
IF9396,Portugal,Braave
IG9597,Indonesia,Aetna
IH6707,Nicaragua,Boston
II3534,Noruega,bodenham
IJ4552,Mexico,Bonetta
IT1233,Filipinas,Premio brillante
IV2746,Argentina,Blandford
IW2489,Australia,Eolo
IX1197,Italia,Boxer
JD8184,Mexico,Refriega
JR2308,Tailandia,britomart
KC2936,Noruega,Agua Negra
KH8053,Belgica,Premio Dover
KM2551,Republica Dominicana,Adepto
KQ3854,Nicaragua,Bravucon
KY2131,Paraguay,alberni
LA5643,Siria,abergavenny
LD3618,Republica Dominicana,Braak
LF8633,Suiza,Blenheim
LI5894,Singapur,Driada
LN6036,Republica Dominicana,Africaine
LN8777,Tailandia,Bridlington
LR2069,Panama,Brecon
LS5992,Costa Rica,Abelardo
LV7419,Qatar,Bronington
LW4637,Brasil,Alarico
LW6201,Japon,Braithwaite
LX6914,Qatar,Abercrombie
MJ4934,Ecuador,Brantingham
MN1612,Italia,Madera negra
MN4984,Japon,Bombay
MO4425,Filipinas,abondance
MO4968,España,Adversario
MU6547,Sudafrica,Eneas
MW6341,Tailandia,Albert
MY3367,Portugal,Zarza
MZ2239,Egipto,Blickling
MZ9845,Italia,Blakeney
NK1201,Ecuador,Castillo de Bombay
NL7862,Nueva Zelanda,Bottisham
NN2774,Tailandia,Drochterland
NN8091,Jamaica,Broaderschap
NP8695,Filipinas,Brock
NQ5495,Panama,Brighton
NT2280,Colombia,Premio Dreadnought
NX3376,Egipto,Albatros
OA5815,Islas Malvinas,Brinton
OB9598,Vietnam,Albuera
OC4762,Finlandia,Actividad
OE1789,Argentina,BLAIRMORE
OF1501,Noruega,Blaxton
OF5460,Chile,Boscawen
OF5956,Egipto,Adur
OH1392,Jamaica,Broadway
OI4579,Egipto,Gulnare
OJ8771,España,Activo
OM4230,Paraguay,Blyth
ON7101,Argentina,Abundante
OO2266,Qatar,druida
OR9516,Singapur,Espada
OT5458,Mexico,Aconito
OY7209,Reino Unido,Bombardear
PA1651,Islas Malvinas,Bumerang
PB7290,Reino Unido,Drogheda
PJ3020,Japon,bowmanville
PJ5481,Argentina,Abelia
PJ8392,Republica Dominicana,Buenaventura
PK9613,Paraguay,Dromio
PM8536,Canada,Abdiel
PP3724,Portugal,Alaunia II
PR9667,Noruega,Bendicion
PU5101,Peru,aventura Galera
PV6712,Paraguay,Brocklesby
PV7666,Austria,Boulogne
PZ1913,Nueva Zelanda,Conductor
PZ3477,Nicaragua,Afridi
QA2495,Nueva Zelanda,Acertif
QC1164,España,Generosidad
QD4440,Estados Unidos,Abrams Oferta
QI7769,Japon,Albanaise
QJ1463,Tailandia,dubbo
QJ6353,Peru,Alamein
QL4591,Siria,albacora
RA3983,Finlandia,Bonito
RC8468,Estados Unidos,Borraja
RH8308,Dinamarca,Agrega un
RJ2733,Estados Unidos,Almirante Devries
RK2324,Republica Dominicana,Africa
RK9162,Argentina,Brigham
RO9221,Cuba,Descarado
RP8314,Ecuador,brantford
RQ2918,Dinamarca,Libelula
RV9799,Dinamarca,Blanche
RW4421,Suiza,Downley
RY9242,Canada,pechiazul
SG9128,Japon,Avanzar
SL2391,Sudafrica,Alarma
SM2508,Colombia,Castillo bramber
SQ8557,Vietnam,Terrible
ST8633,Mexico,Aberford
SU8617,Belgica,Trenza
SV9482,Panama,Bleasdale
TG8958,España,Bergantin
TJ7818,Portugal,Blankney
TO8113,Austria,Almirantazgo
TQ5114,Finlandia,Gurkha
TR8211,Australia,Brema
TS8958,Indonesia,Castillo bridgnorth
UE6214,Ecuador,Bonavoila
UH1378,Sudafrica,Albian
UH6836,Portugal,Aladdin
UJ2611,Islas Malvinas,Bouclier
UL8619,India,blencathra
UO8744,Paraguay,Brezo
UW2735,Austria,Achille
UY2987,Islas Malvinas,Continuar
UZ5981,Cuba,Brissenden
VC7492,Singapur,Abeille
VG7905,Tailandia,Brakel
VH2584,Ecuador,Boreas
VI4743,Canada,Calypso
VI7863,Chile,Esclava
VI9753,Nicaragua,drumheller
VP2429,Australia,Premio aventura
VR7517,Islas Malvinas,albury
VT2032,Austria,Asesor
VT6220,Mexico,Abisinia
VW7522,Australia,acteon
VX5561,Estados Unidos,Abundancia
VY5330,Australia,brenchley
WC2925,Costa Rica,briseis
WC8293,Australia,Campanilla
WD8846,Noruega,Blake
WF3051,Singapur,Brereton
WF7217,Islas Malvinas,achates
WI9449,Suiza,Bligh
WK4832,Brasil,Brixham
WW2485,Portugal,Acanto
WX5990,Argentina,Bogam
XB6912,Argentina,Dovey
XG4556,Nicaragua,Rubia
XG7925,Filipinas,Albemarle
XH5466,Australia,Frontera
XK7318,Argentina,Acacia
XL6992,Costa Rica,Bootle
XN4914,Peru,Agudo
XP9141,Jamaica,Adan y Eva
YB1434,Belgica,Boyne
YB3879,Austria,Bolton
YB8271,Siria,Premio consejos
YC1851,Austria,Bonne Ciudadana
YE6286,Argentina,Castillo de Bowes
YG2900,Sudafrica,Almirante Farragut
YN4644,Islas Malvinas,Bellota
YP3858,Nicaragua,Sumador
YT2845,Mexico,gitano
YW8268,Cuba,britanico
YX2002,Islas Malvinas,Valiente
ZC6249,Brasil,Pato
ZP4420,Chile,magnolia
ZV8179,Indonesia,brockville
ZV9679,Australia,Blean
ZX2922,India,Abbotsham
